audio_file,section,question_type,audio_text,question,option_a,option_b,option_c,option_d,answer,explanation,jlpt_level
n2_kadai_01.wav,kadai,gist,"（音声）女性：来週から営業時間が変わります。","このお知らせの内容は？","営業時間が変わる","場所が変わる","値段が上がる","新しい店ができる",A,"来週から営業時間が変更。",N2
n2_kadai_02.wav,kadai,detail,"（音声）男性：申込は金曜日までです。","申込はいつまで？","木曜日","金曜日","土曜日","日曜日",B,"金曜日まで。",N2
n2_point_01.wav,point,detail,"（音声）男性：集合は9時、場所は駅の前です。","集合時間は？","9時","10時","11時","12時",A,"集合時間=9時。",N2
n2_point_02.wav,point,purpose,"（音声）女性：メールで送ってください。","何で送りますか？","電話","郵便","メール","FAX",C,"メールで送る。",N2
n2_gaiyo_01.wav,gaiyo,gist,"（音声）会議は予定通り行い、最後に質問時間があります。","話の流れは？","会議→質問","質問→会議","会議中止","説明なし",A,"会議の後に質問。",N2
n2_gaiyo_02.wav,gaiyo,inference,"（音声）雨なので傘を持ってください。","何が分かりますか？","晴れ","雨","雪","暑い",B,"雨。",N2
n2_sokuji_01.wav,sokuji,response,"（音声）すみません、今よろしいですか。","どう返事するのが自然？","はい、いいですよ。","いいえ、知らない。","たぶん、無理です。","また昨日。",A,"依頼や呼びかけへの自然な返答。",N2
n2_sokuji_02.wav,sokuji,response,"（音声）コピーしてもらえますか。","どう返事するのが自然？","はい、いいですよ。","いいえ、食べました。","それは猫です。","明日、泳ぎます。",A,"お願いへの返答。",N2
n2_togo_01.wav,togo,inference,"（音声）説明を聞いて、最適な方法を選びなさい。","何をしますか？","方法を選ぶ","説明をやめる","電話を切る","帰る",A,"最適な方法を選ぶ。",N2
n2_togo_02.wav,togo,detail,"（音声）複数の意見をまとめて結論を出します。","何をしますか？","結論を出す","意見を無視する","会議中止","資料を捨てる",A,"結論を出す。",N2
